HV Ratio,Scheduled,Unscheduled
0,0.007828283,0.007828283
0.1,0.720693455,10.1528668
0.2,2.731515131,32.1092858
0.3,7.387092518,30.52408066
0.4,11.87505168,38.96230803
0.5,13.81132342,35.54135784
0.6,18.65576786,37.18675262
0.7,21.52071623,31.08281943
0.8,28.65872535,36.30240322
0.9,34.84643397,37.33446145
1,41.13015448,41.13015448
