HV Ratio,N_i=4 (No subcasing),N_i=10
0,0.942,1.021
0.1,0.647,0.637
0.2,0.694,0.578
0.3,0.671,0.632
0.4,0.651,0.607
0.5,0.693,0.687
0.6,0.72,0.773
0.7,0.772,0.818
0.8,0.899,0.865
0.9,0.873,0.951
1,1,1.021
