HV ratio,MILP-HV,MILP-CAV,FCFS-HV,FCFS-CAV
0.0,-1.0,2.116,-1.0,1.322
0.1,2.148,12.708,5.458,5.637
0.2,101.334,3.241,5.592,6.217
0.30000000000000004,17.898,5.243,8.147,8.499
0.4,3.949,33.168,8.284,7.515
0.5,4.43,5.777,8.803,8.365
0.6000000000000001,24.903,7.571,9.204,9.387
0.7000000000000001,18.444,41.809,8.775,8.515
0.8,31.006,9.151,9.054,8.744
0.9,8.544,5.591,8.723,3.299
1.0,8.934,-1.0,8.876,-1.0
