HV ratio,MILP as Subproblem,FCFS
0.0,37.66,37.968
0.1,40.867,61.599
0.2,44.518,79.585
0.30000000000000004,49.963,86.638
0.4,55.092,92.149
0.5,59.838,95.903
0.6000000000000001,66.977,99.974
0.7000000000000001,75.056,98.193
0.8,81.218,99.087
0.9,90.39,99.105
1.0,96.632,97.652
