HV ratio,MILP as Subproblem,FCFS
0.0,37.075,38.268
0.1,40.404,61.035
0.2,42.447,75.196
0.30000000000000004,47.489,86.289
0.4,51.876,92.396
0.5,58.811,95.33
0.6000000000000001,65.217,97.073
0.7000000000000001,73.029,98.933
0.8,83.368,98.849
0.9,89.13,98.64
1.0,98.532,98.232
